"Group name"	"Main"	"Middle"	"Sub"
"Zentral Beleuchtung"	"0"	" "	" "
"Allgemein"	"0"	"0"	" "
"Zentral aus"	"0"	"0"	"1"
"Untergeschoss"	"0"	"1"	" "
"Erdgeschoss"	"0"	"2"	" "
"Obergeschoss"	"0"	"3"	" "
"AuÃenbereich"	"0"	"4"	" "
"Beleuchtung"	"1"	" "	" "
"Allgemein"	"1"	"0"	" "
"Untergeschoss"	"1"	"1"	" "
"Sperre PrÃ¤senzmelder Hobby 1"	"1"	"1"	"0"
"Licht Hobby 2 Decke"	"1"	"1"	"1"
"UG komplett"	"1"	"1"	"2"
"Heizraum"	"1"	"1"	"3"
"Hobby 1 Decke"	"1"	"1"	"4"
"UG Licht bis Heizraum"	"1"	"1"	"5"
"Licht Decke Keller-2"	"1"	"1"	"6"
"Licht Decke Keller-3"	"1"	"1"	"7"
"Erdgeschoss"	"1"	"2"	" "
"Technik EG"	"1"	"2"	"0"
"KÃ¼che Decke"	"1"	"2"	"1"
"Treppe EG LED"	"1"	"2"	"2"
"BÃ¼ro Decke"	"1"	"2"	"3"
"EZ Decke"	"1"	"2"	"4"
"Flur EG Decke"	"1"	"2"	"5"
"WC Decke"	"1"	"2"	"6"
"KÃ¼che-Decke-Nord+Ost"	"1"	"2"	"7"
"trgDieleEGPrÃ¤senzStatusAnSlave"	"1"	"2"	"8"
"Urlaubs-Beleuchtung"	"1"	"2"	"9"
"WZ-Erker-DL"	"1"	"2"	"10"
"Flur EG WL"	"1"	"2"	"11"
"BÃ¼ro Decke HÃ¤ngelampe"	"1"	"2"	"12"
"Obergeschoss"	"1"	"3"	" "
"Kind 1 Decke SÃ¼d"	"1"	"3"	"0"
"Kind 2 Decke"	"1"	"3"	"1"
"Kind 3 Decke"	"1"	"3"	"2"
"Bad Decke"	"1"	"3"	"3"
"Flur DG"	"1"	"3"	"4"
"Treppe DG"	"1"	"3"	"5"
"Technik EG"	"1"	"3"	"6"
"Abstellraum"	"1"	"3"	"7"
"Kind 1 Wand"	"1"	"3"	"8"
"Kind 2 Wand"	"1"	"3"	"9"
"Bad Waschtisch"	"1"	"3"	"10"
"trgDieleDGBewegungAnMaster"	"1"	"3"	"11"
"Kind 1 Decke Nord"	"1"	"3"	"12"
"Kind 1 Decke Nord dimmen"	"1"	"3"	"13"
"AuÃenbereich"	"1"	"4"	" "
"Eingang"	"1"	"4"	"0"
"Leuchte-Westseite"	"1"	"4"	"1"
"Leuchte-Westseite-deaktiviert"	"1"	"4"	"2"
"Szenen"	"1"	"5"	" "
"Sz-Abend-Essen"	"1"	"5"	"0"
"RÃ¼ckmeldungen"	"1"	"6"	" "
"Rm-EZ-Deckenlicht"	"1"	"6"	"0"
"Dimmen"	"2"	" "	" "
"Allgemein"	"2"	"0"	" "
"Untergeschoss"	"2"	"1"	" "
"Erdgeschoss"	"2"	"2"	" "
"WZ/EZ Wandlampe schalten"	"2"	"2"	"0"
"WZ/EZ Decke schalten"	"2"	"2"	"1"
"WZ/EZ Wandlampe dimmen"	"2"	"2"	"20"
"WZ/EZ Decke dimmen"	"2"	"2"	"21"
"Erker Decke dimmen"	"2"	"2"	"22"
"WZ/EZ Wandlampe Wert"	"2"	"2"	"30"
"WZ/EZ Decke Wert"	"2"	"2"	"31"
"Erker Decke wert"	"2"	"2"	"32"
"KÃ¼che-Decke-Nord"	"2"	"2"	"40"
"KÃ¼che-Decke-Ost"	"2"	"2"	"41"
"KÃ¼che-Decke-Nord+Ost"	"2"	"2"	"42"
"Obergeschoss"	"2"	"3"	" "
"Heizung"	"3"	" "	" "
"Allgemein"	"3"	"0"	" "
"Heizen-BÃ¼ro-WC-Kind-1-2-3"	"3"	"0"	"10"
"Untergeschoss"	"3"	"1"	" "
"Heizen-Keller-1+3"	"3"	"1"	"10"
"Erdgeschoss"	"3"	"2"	" "
"Heizen-BÃ¼ro"	"3"	"2"	"10"
"Heizen-Essen-Wohnen"	"3"	"2"	"11"
"Heizen-WC"	"3"	"2"	"12"
"Heizen-Essen-Wohnen-KÃ¼che"	"3"	"2"	"13"
"Obergeschoss"	"3"	"3"	" "
"Heizen-Kind-1"	"3"	"3"	"10"
"Heizen-Kind-2"	"3"	"3"	"11"
"Heizen-Kind-3"	"3"	"3"	"12"
"Zentral Rolladen"	"4"	" "	" "
"Allgemein"	"4"	"0"	" "
"EG+OG-Zentral-lang"	"4"	"0"	"0"
"Untergeschoss"	"4"	"1"	" "
"Erdgeschoss"	"4"	"2"	" "
"Rollo EG Zentral lang"	"4"	"2"	"0"
"Rollo EG Zentral kurz"	"4"	"2"	"1"
"Obergeschoss"	"4"	"3"	" "
"Rollo Zentral OG lang"	"4"	"3"	"0"
"Rollo Zentral OG kurz"	"4"	"3"	"1"
"Rolladen"	"5"	" "	" "
"Allgemein"	"5"	"0"	" "
"OG"	"5"	"1"	" "
"Rollo Kind 2 west lang"	"5"	"1"	"1"
"Rollo Kind 3 lang"	"5"	"1"	"2"
"Rollo Bad lang"	"5"	"1"	"4"
"Rollo Kind 2 west kurz"	"5"	"1"	"11"
"Rollo Kind 3 kurz"	"5"	"1"	"12"
"Rollo Bad kurz"	"5"	"1"	"14"
"Rollo Kind 2 west pos jal"	"5"	"1"	"21"
"Rollo Kind 3 pos jal"	"5"	"1"	"22"
"Rollo Bad pos"	"5"	"1"	"24"
"EG"	"5"	"2"	" "
"Rollo WC lang"	"5"	"2"	"100"
"Rollo EZ sÃ¼d lang"	"5"	"2"	"101"
"Rollo KÃ¼che west lang"	"5"	"2"	"102"
"Rollo EZ west lang"	"5"	"2"	"103"
"Rollo BÃ¼ro lang"	"5"	"2"	"104"
"Rollo Erker lang"	"5"	"2"	"105"
"Rollo WZ west lang"	"5"	"2"	"106"
"Rollo WZ ost lang"	"5"	"2"	"107"
"Rollo WZ sÃ¼d lang"	"5"	"2"	"108"
"Rollo Technik lang"	"5"	"2"	"111"
"Rollo WC kurz"	"5"	"2"	"120"
"Rollo EZ sÃ¼d kurz"	"5"	"2"	"121"
"Rollo KÃ¼che west kurz"	"5"	"2"	"122"
"Rollo EZ west kurz"	"5"	"2"	"123"
"Rollo BÃ¼ro kurz"	"5"	"2"	"124"
"Rollo Erker kurz"	"5"	"2"	"125"
"Rollo WZ West kurz"	"5"	"2"	"126"
"Rollo WZ ost kurz"	"5"	"2"	"127"
"Rollo WZ sÃ¼d kurz"	"5"	"2"	"128"
"Rollo Technik kurz"	"5"	"2"	"131"
"RL EZ SÃ¼d Langzeit auf+ab "	"5"	"2"	"132"
"RL EZ West Langzeit auf+ab"	"5"	"2"	"133"
"RL EZ SÃ¼d Stop auf/ab"	"5"	"2"	"134"
"RL EZ West Stop auf/ab"	"5"	"2"	"135"
"UG"	"5"	"3"	" "
"Szenen"	"5"	"4"	" "
"Szene-Nacht-Kind-1"	"5"	"4"	"50"
"Sz-Sonnenschutz-WohnenEssen-SÃ¼d"	"5"	"4"	"51"
"Sz-Sonnenschutz-Essen-KÃ¼che-West"	"5"	"4"	"52"
"Sz-Sonnenschutz-BÃ¼ro"	"5"	"4"	"53"
"Allgemein"	"6"	" "	" "
"Szenen"	"7"	" "	" "
"DatumZeit"	"8"	" "	" "
"Taster-Zeitstempel"	"8"	"0"	" "
"Zeit Wohnen"	"8"	"0"	"0"
"Datum Wohnen"	"8"	"0"	"1"
"RÃ¼ckmelder-Licht"	"9"	" "	" "
"EG"	"9"	"0"	" "
"rm_LED-Treppe-EG"	"9"	"0"	"0"
"OG"	"9"	"1"	" "
"rm_Licht-Decke-Kind1-Nord"	"9"	"1"	"0"
"Alarme"	"10"	" "	" "
"Fenster"	"10"	"0"	" "
"Fenster UG Keller 2"	"10"	"0"	"10"
"Steckdosen schaltbar"	"11"	" "	" "
"UG"	"11"	"0"	" "
"EG"	"11"	"1"	" "
"WZ Steckd.-Erker West 2+3"	"11"	"1"	"0"
"OG"	"11"	"2"	" "
"Kind-2 Steckd-Erker Ost 1/5"	"11"	"2"	"0"
